KIC;Kpmag;QLen;DLen;numax;e_numax;Delnu;e_Delnu;A;e_A;Width;e_Width;Gran;e_Gran;Teff;e_Teff;logg;e_log(g);[Fe/H];e_[Fe/H];NoCorM;e_NoCorM;NoCorR;e_NoCorR;RGBcorM;e_RGBcorM;RGBcorR;e_RGBcorR;ClcorM;e_ClcorM;ClcorR;e_ClcorR;Phase;M17;Simbad;_RA;_DE
  757137; 9.200;17;1308.70; 29.99; 0.60; 3.399; 0.011;104.9;  4.6; 12.3; 1.5;   2787.2;   286.3;4751;139; 2.383; 0.012;-0.08; 0.30; 1.70; 0.14;13.91; 0.41; 1.55; 0.13;13.26; 0.39; 1.72; 0.14;13.97; 0.41;1;M17;Simbad;291.0558800;+36.5599519
  892010;11.670; 4; 206.30; 17.85; 0.89; 2.427; 0.078;196.0; 20.5;  8.5; 2.5;  17002.1;  3464.7;4834;151; 2.161; 0.023; 0.21; 0.30; 1.42; 0.29;16.37; 1.38; 1.36; 0.28;16.02; 1.34; 1.43; 0.30;16.47; 1.39;0;M17;Simbad;290.9810800;+36.6669811
  892738;11.730;18;1318.10;  7.48; 0.35; 1.300; 0.031;384.4; 35.5;  3.4; 0.7; 141955.4; 12636.8;4534;135; 1.769; 0.022;-0.25; 0.30; 1.15; 0.21;23.15; 1.62; 0.99; 0.18;21.49; 1.48; 1.12; 0.20;22.86; 1.60;0;M17;Simbad;291.1452900;+36.6940800
  892760;13.230; 6; 380.80; 29.48; 0.48; 3.962; 0.116;149.7;  8.3; 12.0; 3.9;   6319.1;  1108.3;5188;183; 2.394; 0.011;-0.21; 0.30; 1.00; 0.14;10.51; 0.68; 1.04; 0.15;10.74; 0.70; 1.00; 0.14;10.52; 0.68;2;M17;Simbad;291.1510300;+36.6849400
  893214;12.580;15;1211.90; 41.39; 0.54; 4.311; 0.013; 86.1;  4.6; 15.3; 1.6;   1337.0;   289.9;4728; 80; 2.522; 0.008;-0.15; 0.15; 1.72; 0.10;11.90; 0.26; 1.54; 0.09;11.29; 0.24; 1.72; 0.10;11.92; 0.26;1;M17;Simbad;291.2486300;+36.6384200
  893233;11.440; 8; 638.90;  6.15; 0.12; 1.176; 0.018;563.5; 50.6;  2.3; 0.3; 174726.9; 18712.7;4207;147; 1.668; 0.012; 0.22; 0.30; 0.86; 0.09;22.43; 0.95; 0.71; 0.07;20.46; 0.84; 0.84; 0.09;22.28; 0.94;0;M17;Simbad;291.2523800;+36.6016881
 1026084;12.140;15;1139.00; 41.17; 0.90; 4.414; 0.061; 63.8;  2.9; 24.8; 2.7;    733.1;   165.0;5072;166; 2.534; 0.013;-0.12; 0.30; 1.71; 0.18;11.69; 0.48; 1.67; 0.17;11.55; 0.48; 1.75; 0.18;11.83; 0.49;2;M17;Simbad;291.0561800;+36.7040411
 1026180;11.740; 4; 206.30; 36.91; 0.71; 3.991; 0.064;116.1;  9.6; 14.0; 2.4;   1641.2;   697.8;4718;148; 2.471; 0.012;-0.02; 0.30; 1.65; 0.17;12.37; 0.53; 1.50; 0.16;11.80; 0.50; 1.67; 0.17;12.43; 0.53;2;M17;Simbad;291.0801700;+36.7605019
 1026309;10.600;18;1318.10; 16.86; 0.76; 1.927; 0.029;114.4;  8.5;  6.7; 0.9;  13065.8;  1023.8;4514; 80; 2.121; 0.020; 0.25; 0.15; 2.71; 0.42;23.71; 1.35; 2.60; 0.40;23.22; 1.32; 2.73; 0.42;23.78; 1.35;0;M17;Simbad;291.1098600;+36.7331811
 1026326;13.260;17;1308.70; 94.86; 0.65; 8.830; 0.019; 59.1;  2.4; 29.6; 1.6;    154.0;    33.5;5123;162; 2.899; 0.009;-0.41; 0.30; 1.32; 0.08; 6.77; 0.15; 1.30; 0.08; 6.70; 0.15; 1.36; 0.09; 6.85; 0.16;1;M17;Simbad;291.1143500;+36.7033389
 1026452;12.940;18;1318.10; 34.50; 0.52; 3.967; 0.078; 83.3;  4.3; 13.6; 1.1;   1692.1;   325.7;5089;154; 2.458; 0.010;-0.11; 0.30; 1.55; 0.17;12.15; 0.57; 1.53; 0.16;12.08; 0.57; 1.58; 0.17;12.27; 0.58;2;M17;Simbad;291.1438300;+36.7901311
 1027110;12.100;18;1318.10;  6.62; 0.19; 1.152; 0.016;527.9; 46.1;  2.7; 0.4; 193688.2; 18167.0;4190; 80; 1.699; 0.014;-0.27; 0.15; 1.15; 0.13;25.09; 1.09; 0.99; 0.11;23.27; 0.99; 1.11; 0.12;24.66; 1.07;0;M17;Simbad;291.2890600;+36.7499689
